2021-04-29 12:48:15,"b""@AugustMoonRae Pre covid we would go for a date night once a week &amp; I'd meet a friend for dinnet / happy hour often\xe2\x80\xa6 https://t.co/MGOJ90M8pr""",b'HelloSerah',b''
2021-04-29 12:41:23,b'Any recommendations for food delivery in #Kolkata around CIT Road/Sealdah area? Family is COVID +ve and need to arrange food. \n\nThank you.',b'ferociousoxide',"b'London, England'"
2021-04-29 12:37:02,"b'Delhi gurdwara starts \xe2\x80\x98Oxygen Langar\xe2\x80\x99, food delivery for COVID-19\xc2\xa0patients https://t.co/9z9aPVckZi'",b'TheNewsCaravan',b'India'
2021-04-29 12:35:14,"b'Delhi gurdwara starts \xe2\x80\x98#OxygenLangar\xe2\x80\x99, food delivery for #COVID19 patients https://t.co/UjrMaKvpSc'",b'thetribunechd',b'Chandigarh'
2021-04-29 12:27:53,b'Food delivery apps face multibillion dollar hit as COVID lifts: study https://t.co/0TlBkLPYds',b'filterednews',b'United States'
2021-04-29 12:14:06,"b'Delhi gurdwara starts \xe2\x80\x98Oxygen Langar\xe2\x80\x99, food delivery for COVID-19 patients - The Tribune India https://t.co/bCdO1LBKO4 CROSSLINKER'",b'CrosslinkerAi',"b'Sunnyvale, CA'"
2021-04-29 11:59:45,"b'In 1984, crowds were searching for Gurudwaras and Sardars to burn them. \n\nToday they are searching for Gurudwaras f\xe2\x80\xa6 https://t.co/vEwKO3YM9q'",b'FlyingMariner',b'BLR'
2021-04-29 11:59:21,"b'Delhi Gurudwara starts \xe2\x80\x98Oxygen Langar\xe2\x80\x99, food delivery for COVID-19 patients | The Fact News\n#DelhiGurudwara\xe2\x80\xa6 https://t.co/v3G9Cz9pAy'",b'thefactnewsnet',b''
2021-04-29 11:57:33,"b'Zomato IPO: Sustained losses, competition, COVID among key risks for food delivery platform - CNBCTV18 https://t.co/OEnuHKLnfP CROSSLINKER'",b'CrosslinkerAi',"b'Sunnyvale, CA'"
2021-04-29 11:54:46,b'Food delivery apps face multibillion dollar hit as COVID pandemic lifts: study #NYP https://t.co/9QKySQ8cfM via @nypost',b'LisaFickenscher',b'New York City'
2021-04-29 11:49:28,b'Pls allow volunteers (following all Covid protocols) to deliver essential services like free food delivery to Covid\xe2\x80\xa6 https://t.co/OohIVBVrCa',b'KhajuriaManu',"b'London/Patna/Jammu, JK,India'"
2021-04-29 11:48:24,b'Rotaract Club of Muzaffarpur\n\nHome Delivery of free Food Packets for covid patients family\n\nApki sewa mai fir se ty\xe2\x80\xa6 https://t.co/Ql34lLXDst',b'anshulaman968',b'Muzaffarpur '
2021-04-29 11:42:07,b'Indian food-delivery startup Zomato files for a $1.1 billion IPO as the country battles a catastrophic wave of COVI\xe2\x80\xa6 https://t.co/rB5N2fX7YL',b'TechNewsTube',"b'Philadelphia, PA'"
2021-04-29 11:36:04,"b'@Khushbookhan_ I\xe2\x80\x99m covid positive and I have been ordering on swiggy from past 10 days.\nSo far, delivery has been s\xe2\x80\xa6 https://t.co/TV77m8oCJc'",b'mdminhaz484',b'New Delhi'
